Temp,cmp1,cmp2,cmp3,cmp4,cmp5,cmp6,cmp7,cmp8,cmp9,cmp10,cmp11,cmp12,cmp13
447.06,150315.36,98574.36,90607.23,12464.24,53109.49,10982.28,17918.49,3916.93,11604.64,10095.5,3852.72,15182.63,1381.55
447.16,150634.2,98839.45,90840.66,12506.79,53265.79,11018.04,17977.75,3932.68,11645.21,10130.49,3867.08,15235.82,1387.21
447.26,150953.56,99105.13,91074.57,12549.45,53422.46,11053.91,18037.19,3948.47,11685.91,10165.59,3881.5,15289.17,1392.9
447.36,151273.44,99371.39,91308.97,12592.24,53579.48,11089.88,18096.8,3964.33,11726.73,10200.79,3895.96,15342.67,1398.6
447.46,151593.82,99638.24,91543.85,12635.15,53736.86,11125.94,18156.57,3980.24,11767.67,10236.09,3910.47,15396.32,1404.32
447.56,151914.72,99905.68,91779.23,12678.18,53894.61,11162.11,18216.52,3996.2,11808.74,10271.5,3925.02,15450.14,1410.07
447.66,152236.13,100173.71,92015.1,12721.34,54052.72,11198.37,18276.64,4012.22,11849.93,10307.01,3939.62,15504.11,1415.83
447.76,152558.06,100442.33,92251.45,12764.61,54211.18,11234.74,18336.93,4028.29,11891.25,10342.63,3954.28,15558.25,1421.62
447.86,152880.5,100711.54,92488.3,12808.01,54370.01,11271.2,18397.4,4044.42,11932.7,10378.35,3968.98,15612.54,1427.42
447.96,153203.45,100981.34,92725.65,12851.53,54529.21,11307.76,18458.03,4060.6,11974.27,10414.18,3983.72,15666.99,1433.25
448.06,153526.93,101251.74,92963.48,12895.18,54688.76,11344.43,18518.84,4076.84,12015.96,10450.12,3998.52,15721.6,1439.09
448.16,153850.92,101522.73,93201.81,12938.95,54848.68,11381.2,18579.83,4093.13,12057.78,10486.16,4013.37,15776.37,1444.96
448.26,154175.42,101794.31,93440.63,12982.84,55008.97,11418.07,18640.98,4109.48,12099.73,10522.31,4028.26,15831.3,1450.85
448.36,154500.44,102066.49,93679.95,13026.86,55169.62,11455.03,18702.31,4125.89,12141.81,10558.56,4043.2,15886.39,1456.76
448.46,154825.99,102339.27,93919.77,13071,55330.64,11492.1,18763.82,4142.35,12184.01,10594.93,4058.19,15941.64,1462.69
448.56,155152.05,102612.65,94160.08,13115.26,55492.02,11529.28,18825.5,4158.87,12226.34,10631.4,4073.24,15997.05,1468.64
448.66,155478.62,102886.62,94400.89,13159.65,55653.77,11566.55,18887.35,4175.44,12268.8,10667.97,4088.33,16052.63,1474.61
448.76,155805.72,103161.2,94642.2,13204.17,55815.88,11603.93,18949.38,4192.07,12311.39,10704.66,4103.46,16108.37,1480.6
448.86,156133.34,103436.37,94884.01,13248.81,55978.37,11641.41,19011.59,4208.76,12354.1,10741.45,4118.65,16164.27,1486.62
448.96,156461.48,103712.15,95126.31,13293.58,56141.22,11678.99,19073.97,4225.51,12396.95,10778.35,4133.89,16220.33,1492.65
449.06,156790.14,103988.53,95369.12,13338.47,56304.44,11716.67,19136.53,4242.31,12439.92,10815.36,4149.18,16276.55,1498.71
449.16,157119.32,104265.52,95612.43,13383.49,56468.04,11754.46,19199.27,4259.17,12483.03,10852.48,4164.52,16332.94,1504.78
449.26,157449.02,104543.11,95856.24,13428.64,56632,11792.35,19262.19,4276.09,12526.26,10889.7,4179.91,16389.5,1510.88
449.36,157779.25,104821.3,96100.56,13473.91,56796.33,11830.35,19325.28,4293.06,12569.62,10927.04,4195.35,16446.21,1517
449.46,158110,105100.11,96345.38,13519.31,56961.04,11868.45,19388.56,4310.09,12613.12,10964.49,4210.84,16503.1,1523.15
449.56,158441.27,105379.52,96590.7,13564.84,57126.11,11906.65,19452.01,4327.18,12656.74,11002.04,4226.38,16560.14,1529.31
449.66,158773.07,105659.54,96836.53,13610.49,57291.56,11944.96,19515.64,4344.33,12700.5,11039.71,4241.97,16617.36,1535.49
449.76,159105.39,105940.17,97082.87,13656.28,57457.38,11983.37,19579.45,4361.53,12744.39,11077.49,4257.61,16674.74,1541.7
